Draw Date,Main_Numbers,Bonus,Jackpot,Winners
,"[6, 16, 37, 41, 45, 57]",9,990.0,2
,"[3, 12, 27, 29, 36, 44]",42,638.0,3
,"[2, 21, 30, 31, 33, 54]",19,958.0,6
,"[10, 12, 16, 40, 41, 43]",38,579.0,0
,"[7, 21, 27, 38, 54, 56]",33,844.0,1
,"[4, 12, 16, 31, 40, 54]",3,86.0,11
,"[3, 12, 27, 29, 36, 44]",42,1.0,13
,"[3, 12, 27, 29, 36, 44]",42,0.0,4
,"[3, 12, 27, 29, 36, 44]",42,2.0,3
,"[9, 21, 34, 39, 50, 52]",32,980.0,2
,"[16, 21, 24, 42, 53, 56]",33,996.0,0
,"[21, 22, 24, 31, 32, 44]",40,432.0,4
,"[8, 13, 26, 38, 50, 51]",31,967.0,3
,"[3, 7, 13, 20, 30, 45]",37,614.0,1
,"[2, 8, 11, 15, 42, 44]",52,272.0,4
,"[3, 14, 18, 20, 40, 47]",55,501.0,3
,"[10, 17, 21, 40, 44, 46]",8,12.0,4
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[4, 9, 40, 42, 45, 54]",34,888.0,1
,"[3, 12, 27, 29, 36, 44]",42,0.0,8
,"[7, 22, 25, 35, 38, 41]",45,888.0,4
,"[3, 12, 27, 29, 36, 44]",42,1.0,3
,"[18, 25, 32, 35, 47, 53]",37,825.0,5
,"[9, 12, 16, 18, 56, 59]",23,57.0,0
,"[3, 7, 12, 24, 38, 52]",11,462.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[15, 26, 27, 34, 42, 51]",22,428.0,2
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[3, 6, 8, 26, 32, 36]",21,168.0,1
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[8, 12, 13, 29, 55, 59]",42,240.0,1
,"[3, 12, 27, 29, 36, 44]",42,0.0,2
,"[3, 6, 32, 46, 47, 52]",14,202.0,9
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[2, 12, 20, 25, 27, 33]",58,620.0,4
,"[3, 12, 27, 29, 36, 44]",42,1.0,3
,"[21, 25, 32, 35, 37, 44]",19,615.0,3
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[21, 25, 32, 35, 37, 44]",19,605.0,5
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[8, 18, 20, 29, 46, 58]",54,493.0,3
,"[3, 12, 27, 29, 36, 44]",42,0.0,2
,"[2, 5, 19, 20, 21, 23]",33,540.0,2
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[5, 12, 16, 42, 45, 47]",19,316.0,2
,"[8, 18, 20, 29, 46, 58]",54,260.0,5
,"[6, 21, 24, 25, 26, 35]",7,584.0,0
,"[2, 9, 11, 16, 21, 27]",7,924.0,2
,"[4, 15, 21, 38, 39, 45]",18,762.0,0
,"[3, 12, 27, 29, 36, 44]",42,1.0,3
,"[8, 9, 21, 39, 42, 57]",44,181.0,3
,"[3, 12, 27, 29, 36, 44]",42,0.0,4
,"[6, 7, 22, 40, 51, 54]",19,570.0,3
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[9, 11, 14, 21, 46, 52]",47,760.0,5
,"[1, 4, 8, 18, 27, 49]",41,650.0,0
,"[1, 19, 21, 22, 45, 58]",29,540.0,5
,"[9, 11, 24, 25, 38, 49]",55,636.0,4
,"[2, 9, 19, 37, 49, 55]",50,263.0,1
,"[1, 10, 13, 24, 34, 58]",49,208.0,0
,"[15, 28, 30, 34, 37, 59]",42,40.0,5
,"[5, 10, 22, 25, 29, 47]",27,21.0,7
,"[4, 7, 15, 40, 44, 48]",10,654.0,2
,"[1, 3, 19, 25, 26, 42]",12,696.0,14
,"[17, 22, 37, 51, 56, 58]",55,277.0,1
,"[3, 7, 10, 20, 26, 56]",29,499.0,1
,"[1, 5, 24, 28, 33, 51]",27,346.0,6
,"[8, 29, 34, 35, 49, 57]",37,25.0,5
,"[2, 14, 27, 44, 56, 59]",41,366.0,2
,"[1, 21, 22, 33, 54, 55]",40,228.0,2
,"[7, 12, 20, 26, 51, 59]",52,592.0,8
,"[7, 17, 20, 22, 40, 54]",43,10.0,2
,"[22, 40, 42, 46, 50, 56]",33,50.0,2
,"[22, 30, 31, 42, 46, 59]",53,554.0,2
,"[7, 15, 20, 21, 54, 58]",41,956.0,6
,"[7, 22, 25, 35, 38, 41]",45,127.0,0
,"[4, 5, 17, 25, 52, 53]",42,252.0,3
,"[5, 13, 21, 25, 29, 57]",51,305.0,0
,"[21, 22, 24, 31, 32, 44]",40,638.0,6
,"[6, 13, 14, 30, 33, 47]",51,220.0,2
,"[31, 35, 40, 52, 54, 59]",4,30.0,15
,"[3, 14, 26, 34, 45, 59]",21,685.0,1
,"[1, 3, 6, 30, 31, 51]",54,0.0,20
,"[3, 12, 27, 29, 36, 44]",42,0.0,2
,"[12, 15, 16, 35, 53, 59]",29,320.0,8
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[4, 5, 24, 44, 49, 54]",27,736.0,19
,"[3, 12, 27, 29, 36, 44]",42,8.0,18
,"[2, 28, 30, 34, 40, 46]",7,684.0,4
,"[16, 27, 35, 45, 54, 58]",53,999.0,3
,"[3, 5, 9, 17, 28, 49]",10,653.0,9
,"[10, 19, 29, 32, 36, 39]",5,818.0,0
,"[3, 7, 12, 24, 38, 52]",11,825.0,3
,"[3, 13, 15, 30, 51, 56]",5,900.0,5
,"[3, 8, 9, 17, 28, 49]",36,760.0,10
,"[6, 24, 30, 34, 43, 57]",44,489.0,3
,"[12, 32, 34, 45, 55, 58]",22,25.0,1
,"[14, 27, 28, 42, 52, 54]",50,360.0,4
,"[20, 27, 39, 45, 50, 53]",18,245.0,5
,"[14, 19, 23, 25, 29, 37]",51,6.0,0
,"[14, 21, 25, 39, 46, 55]",3,738.0,1
,"[5, 10, 15, 22, 28, 36]",43,890.0,2
,"[5, 16, 17, 23, 35, 36]",37,452.0,2
,"[19, 26, 37, 43, 49, 57]",35,468.0,4
,"[14, 19, 24, 38, 48, 57]",11,369.0,1
,"[1, 2, 10, 13, 22, 54]",41,707.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,8
,"[1, 13, 27, 28, 38, 56]",17,382.0,2
,"[11, 15, 21, 48, 50, 55]",23,842.0,2
,"[10, 22, 45, 51, 54, 56]",43,592.0,4
,"[11, 28, 39, 51, 55, 59]",24,608.0,4
,"[3, 24, 25, 40, 43, 48]",37,555.0,1
,"[10, 11, 47, 50, 53, 59]",12,607.0,3
,"[14, 21, 27, 35, 48, 54]",3,765.0,3
,"[10, 17, 21, 40, 44, 46]",8,576.0,4
,"[1, 21, 22, 33, 54, 55]",40,863.0,1
,"[2, 23, 31, 32, 34, 35]",28,558.0,1
,"[6, 7, 17, 25, 42, 58]",23,210.0,3
,"[5, 14, 16, 18, 19, 59]",36,856.0,4
,"[10, 12, 16, 40, 41, 43]",38,249.0,1
,"[12, 20, 23, 33, 35, 57]",29,998.0,2
,"[11, 30, 31, 34, 35, 36]",37,121.0,0
,"[25, 30, 39, 42, 43, 52]",58,120.0,7
,"[9, 10, 28, 29, 41, 58]",47,322.0,1
,"[3, 10, 40, 53, 57, 58]",21,559.0,0
,"[21, 25, 34, 52, 55, 58]",20,444.0,2
,"[1, 10, 14, 21, 28, 48]",32,408.0,1
,"[8, 27, 28, 40, 43, 52]",56,59.0,0
,"[9, 16, 18, 32, 45, 48]",56,275.0,5
,"[25, 30, 51, 53, 57, 59]",9,16.0,16
,"[12, 19, 39, 43, 55, 59]",41,131.0,3
,"[4, 18, 31, 32, 38, 54]",25,476.0,2
,"[1, 13, 18, 46, 51, 56]",2,0.0,5
,"[2, 4, 23, 28, 29, 38]",21,950.0,2
,"[32, 40, 43, 47, 49, 53]",52,288.0,8
,"[20, 32, 46, 49, 54, 57]",14,777.0,3
,"[8, 15, 25, 27, 38, 59]",43,400.0,6
,"[2, 4, 8, 17, 39, 43]",57,122.0,1
,"[8, 20, 23, 26, 27, 37]",38,974.0,1
,"[7, 17, 19, 31, 34, 53]",33,306.0,2
,"[10, 14, 20, 23, 44, 45]",8,836.0,4
,"[1, 35, 41, 45, 50, 57]",40,147.0,1
,"[5, 7, 9, 16, 24, 45]",17,756.0,12
,"[7, 26, 27, 31, 44, 53]",51,588.0,0
,"[3, 12, 27, 29, 36, 44]",42,4.0,12
,"[3, 12, 27, 29, 36, 44]",42,0.0,2
,"[6, 15, 17, 37, 38, 54]",49,698.0,2
,"[3, 14, 18, 20, 40, 47]",55,759.0,0
,"[5, 22, 35, 45, 47, 57]",16,794.0,6
,"[9, 21, 34, 39, 50, 52]",32,914.0,2
,"[11, 36, 39, 46, 54, 57]",50,359.0,7
,"[2, 5, 10, 23, 29, 53]",38,974.0,2
,"[10, 12, 20, 21, 26, 32]",3,808.0,6
,"[2, 7, 11, 22, 31, 46]",58,415.0,1
,"[1, 4, 8, 18, 27, 49]",41,755.0,5
,"[5, 9, 24, 34, 43, 51]",14,442.0,1
,"[2, 4, 6, 42, 51, 54]",37,180.0,4
,"[3, 12, 27, 29, 36, 44]",42,2.0,6
,"[3, 12, 27, 29, 36, 44]",42,0.0,2
,"[16, 25, 29, 34, 43, 49]",59,612.0,0
,"[4, 12, 27, 44, 47, 51]",43,816.0,4
,"[19, 26, 37, 43, 49, 57]",35,526.0,0
,"[12, 13, 18, 30, 50, 53]",25,804.0,2
,"[3, 17, 19, 37, 42, 56]",41,369.0,1
,"[2, 7, 12, 26, 31, 39]",32,262.0,1
,"[3, 12, 27, 29, 36, 44]",42,0.0,4
,"[3, 7, 8, 15, 35, 37]",57,185.0,5
,"[3, 7, 10, 36, 39, 43]",17,191.0,0
,"[1, 3, 19, 25, 26, 42]",12,684.0,4
,"[1, 25, 31, 33, 39, 40]",48,812.0,3
,"[10, 19, 35, 37, 58, 59]",31,83.0,1
,"[21, 24, 26, 38, 53, 58]",4,519.0,1
,"[3, 12, 27, 29, 36, 44]",42,744.0,4
,"[3, 17, 19, 37, 42, 56]",41,119.0,0
,"[5, 17, 25, 29, 49, 59]",31,380.0,1
,"[3, 22, 34, 40, 42, 44]",12,536.0,4
,"[12, 13, 16, 22, 23, 56]",25,945.0,5
,"[11, 18, 20, 29, 39, 45]",15,218.0,1
,"[5, 7, 13, 15, 17, 59]",30,430.0,6
,"[5, 19, 38, 47, 51, 57]",53,319.0,3
,"[10, 11, 47, 50, 53, 59]",12,928.0,2
,"[2, 4, 40, 46, 48, 56]",8,128.0,1
,"[13, 34, 37, 43, 49, 51]",18,711.0,7
,"[2, 7, 11, 22, 31, 46]",58,324.0,4
,"[18, 22, 34, 45, 53, 58]",5,482.0,7
,"[1, 4, 12, 34, 46, 53]",13,398.0,3
,"[4, 18, 22, 28, 32, 39]",29,178.0,6
,"[5, 20, 37, 44, 52, 58]",1,61.0,0
,"[24, 28, 34, 40, 42, 58]",51,55.0,5
,"[16, 25, 29, 34, 43, 49]",59,952.0,4
,"[2, 6, 32, 40, 51, 54]",14,756.0,2
,"[10, 22, 28, 29, 51, 53]",47,998.0,2
,"[2, 28, 29, 34, 47, 52]",50,368.0,8
,"[10, 15, 23, 31, 51, 57]",11,424.0,2
,"[9, 15, 17, 31, 50, 54]",36,728.0,4
,"[16, 23, 42, 48, 50, 51]",38,341.0,0
,"[5, 19, 22, 35, 40, 54]",2,223.0,3
,"[1, 19, 21, 22, 45, 58]",29,546.0,2
,"[11, 28, 39, 51, 55, 59]",24,525.0,3
,"[3, 6, 17, 26, 39, 43]",30,328.0,1
,"[9, 10, 28, 29, 41, 58]",47,111.0,3
,"[2, 10, 15, 27, 46, 58]",21,468.0,0
,"[4, 15, 18, 22, 30, 53]",19,376.0,8
,"[2, 15, 17, 27, 34, 52]",32,782.0,3
,"[4, 12, 16, 31, 40, 54]",3,878.0,2
,"[1, 4, 21, 37, 49, 51]",36,154.0,0
,"[7, 38, 48, 53, 54, 56]",47,206.0,2
,"[1, 13, 24, 44, 48, 56]",38,678.0,2
,"[2, 17, 21, 41, 51, 52]",42,958.0,1
,"[1, 5, 14, 18, 41, 57]",30,801.0,1
,"[3, 12, 27, 29, 36, 44]",42,0.0,4
,"[13, 40, 42, 45, 46, 49]",32,853.0,1
,"[25, 30, 51, 53, 57, 59]",9,358.0,1
,"[5, 8, 24, 48, 52, 56]",4,384.0,2
,"[13, 40, 42, 45, 46, 49]",32,184.0,4
,"[1, 5, 24, 28, 33, 51]",27,576.0,1
,"[2, 12, 19, 36, 44, 58]",28,564.0,2
,"[1, 7, 8, 31, 38, 43]",54,136.0,4
,"[13, 31, 37, 42, 43, 57]",38,746.0,3
,"[8, 9, 33, 46, 57, 59]",4,115.0,5
,"[2, 4, 8, 17, 39, 43]",57,350.0,7
,"[2, 24, 36, 37, 38, 50]",19,881.0,0
,"[2, 19, 26, 29, 39, 41]",13,583.0,11
,"[12, 20, 25, 36, 42, 44]",22,264.0,2
