Draw Date,Main_Numbers,Bonus,Jackpot,Winners
,"[4, 5, 13, 38, 51, 54]",40,423.0,0
,"[13, 33, 35, 38, 41, 43]",31,444.0,0
,"[23, 38, 40, 48, 50, 55]",9,518.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[23, 35, 48, 50, 53, 55]",34,179.0,1
,"[5, 7, 19, 25, 33, 59]",24,552.0,0
,"[1, 5, 15, 31, 40, 56]",51,92.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[20, 26, 34, 40, 41, 48]",10,734.0,1
,"[14, 40, 43, 44, 47, 57]",56,588.0,0
,"[2, 22, 23, 26, 45, 57]",29,234.0,0
,"[5, 13, 29, 40, 44, 52]",2,15.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[3, 14, 20, 47, 56, 58]",44,648.0,0
,"[8, 10, 21, 39, 48, 49]",31,194.0,0
,"[22, 37, 46, 53, 56, 57]",25,216.0,0
,"[1, 25, 31, 33, 39, 40]",48,533.0,0
,"[2, 4, 29, 32, 47, 49]",22,166.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[5, 18, 36, 38, 53, 55]",56,36.0,0
,"[6, 14, 20, 21, 34, 41]",29,907.0,0
,"[14, 15, 26, 27, 39, 52]",28,599.0,0
,"[18, 22, 34, 45, 53, 58]",5,904.0,0
,"[12, 28, 38, 40, 57, 59]",1,167.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,2
,"[1, 10, 14, 21, 28, 48]",32,783.0,1
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[5, 24, 25, 37, 52, 54]",51,1.0,0
,"[26, 28, 33, 36, 48, 56]",22,390.0,0
,"[5, 7, 9, 19, 27, 39]",36,623.0,0
,"[15, 23, 27, 29, 45, 47]",48,3.0,0
,"[6, 15, 17, 37, 38, 54]",49,400.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,1
,"[1, 13, 16, 32, 41, 53]",47,768.0,1
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[5, 8, 10, 22, 42, 45]",11,206.0,0
,"[1, 5, 15, 31, 40, 56]",51,157.0,0
,"[32, 37, 39, 41, 46, 55]",58,456.0,0
,"[7, 21, 32, 33, 41, 55]",31,30.0,0
,"[15, 23, 43, 44, 53, 54]",58,416.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[7, 14, 16, 21, 51, 55]",23,823.0,1
,"[6, 14, 20, 21, 34, 41]",29,359.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[5, 12, 16, 42, 45, 47]",19,793.0,1
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[4, 15, 21, 27, 46, 56]",49,566.0,0
,"[16, 21, 24, 42, 53, 56]",33,78.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[6, 35, 40, 42, 45, 55]",34,275.0,0
,"[8, 15, 27, 38, 49, 58]",3,615.0,0
,"[1, 7, 22, 26, 31, 52]",49,238.0,0
,"[12, 19, 25, 39, 42, 44]",23,290.0,0
,"[15, 17, 21, 23, 25, 42]",47,362.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[6, 10, 11, 12, 43, 56]",53,102.0,1
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[2, 22, 23, 26, 45, 57]",29,869.0,1
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[1, 6, 14, 35, 46, 54]",9,269.0,1
,"[10, 12, 17, 22, 53, 54]",2,754.0,0
,"[1, 11, 22, 42, 49, 58]",50,148.0,0
,"[1, 27, 32, 34, 45, 48]",14,865.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[2, 5, 22, 31, 47, 48]",41,281.0,0
,"[4, 5, 9, 20, 31, 32]",49,462.0,0
,"[5, 16, 17, 23, 28, 58]",57,60.0,0
,"[2, 4, 6, 42, 51, 54]",37,436.0,0
,"[2, 9, 10, 15, 25, 53]",54,514.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[10, 42, 44, 51, 58, 59]",55,627.0,0
,"[9, 26, 33, 38, 50, 58]",30,277.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[9, 26, 33, 38, 50, 58]",30,487.0,0
,"[22, 23, 27, 41, 48, 56]",28,828.0,0
,"[13, 38, 42, 50, 52, 55]",7,64.0,0
,"[14, 15, 26, 27, 39, 52]",28,448.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[4, 13, 17, 31, 53, 55]",19,532.0,1
,"[7, 11, 21, 36, 39, 56]",15,804.0,0
,"[11, 25, 44, 46, 47, 57]",43,979.0,0
,"[4, 24, 32, 39, 48, 54]",41,495.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[6, 10, 14, 17, 25, 48]",52,779.0,1
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[1, 10, 29, 32, 56, 57]",34,792.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[1, 11, 27, 30, 33, 50]",39,760.0,1
,"[10, 16, 22, 25, 28, 38]",50,0.0,0
,"[12, 32, 34, 45, 55, 58]",22,593.0,0
,"[5, 8, 24, 48, 52, 56]",4,945.0,0
,"[2, 5, 12, 15, 38, 50]",56,416.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[11, 17, 22, 41, 49, 54]",4,646.0,0
,"[10, 13, 17, 22, 31, 33]",20,194.0,0
,"[21, 22, 28, 36, 52, 58]",17,908.0,0
,"[5, 39, 41, 45, 48, 56]",13,597.0,0
,"[7, 11, 14, 17, 18, 20]",56,870.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[16, 23, 24, 42, 49, 57]",25,599.0,0
,"[8, 9, 10, 47, 53, 58]",32,521.0,0
,"[3, 26, 44, 47, 55, 56]",19,400.0,0
,"[22, 24, 26, 35, 39, 50]",49,372.0,0
,"[16, 17, 28, 32, 34, 58]",11,425.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[4, 18, 31, 32, 38, 54]",25,332.0,0
,"[2, 20, 27, 29, 50, 55]",19,773.0,0
,"[19, 26, 37, 43, 49, 57]",35,79.0,0
,"[4, 5, 8, 20, 36, 40]",34,498.0,0
,"[11, 15, 21, 48, 50, 55]",23,869.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[13, 18, 21, 38, 41, 58]",42,601.0,1
,"[6, 35, 40, 42, 45, 55]",34,965.0,0
,"[6, 10, 36, 44, 52, 59]",35,876.0,0
,"[1, 12, 13, 14, 34, 51]",54,601.0,0
,"[13, 33, 35, 38, 41, 43]",31,18.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[6, 13, 14, 30, 33, 47]",51,826.0,1
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[4, 13, 16, 19, 51, 58]",6,564.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[6, 7, 22, 40, 51, 54]",19,714.0,0
,"[6, 28, 35, 43, 48, 54]",3,517.0,0
,"[1, 4, 5, 8, 11, 27]",35,812.0,0
,"[2, 4, 5, 11, 12, 52]",36,411.0,0
,"[3, 9, 23, 33, 46, 57]",54,620.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[18, 29, 34, 37, 43, 55]",2,584.0,0
,"[16, 25, 29, 31, 34, 41]",3,710.0,0
,"[4, 25, 35, 45, 48, 49]",58,580.0,0
,"[7, 11, 25, 28, 39, 58]",5,457.0,0
,"[2, 27, 30, 31, 35, 44]",6,502.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[1, 9, 18, 25, 44, 57]",42,72.0,0
,"[8, 10, 21, 39, 48, 49]",31,975.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[6, 9, 10, 25, 36, 49]",17,636.0,0
,"[8, 12, 25, 36, 47, 50]",10,77.0,0
,"[2, 23, 24, 39, 43, 44]",30,398.0,0
,"[21, 31, 33, 34, 50, 53]",49,728.0,0
,"[2, 5, 7, 13, 41, 56]",3,177.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[5, 18, 21, 36, 44, 46]",12,49.0,1
,"[27, 33, 35, 49, 52, 58]",34,460.0,0
,"[4, 11, 22, 36, 45, 56]",15,616.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[1, 25, 31, 33, 39, 40]",48,571.0,1
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,1
,"[5, 15, 22, 28, 36, 43]",19,486.0,1
,"[6, 29, 30, 37, 48, 56]",23,851.0,0
,"[4, 29, 32, 38, 47, 59]",5,32.0,0
,"[14, 16, 18, 39, 41, 57]",9,188.0,0
,"[14, 15, 26, 27, 39, 52]",28,332.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[7, 9, 16, 30, 45, 47]",28,171.0,1
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[8, 13, 26, 38, 48, 55]",15,357.0,1
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[5, 13, 14, 17, 25, 29]",23,697.0,1
,"[5, 24, 25, 38, 40, 52]",1,781.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 4, 35, 51, 52, 56]",33,875.0,1
,"[8, 9, 15, 23, 46, 48]",58,613.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[3, 13, 15, 30, 51, 56]",5,799.0,0
,"[8, 10, 22, 25, 33, 42]",23,432.0,0
,"[16, 26, 35, 48, 56, 58]",31,531.0,0
,"[10, 32, 36, 52, 53, 57]",2,865.0,0
,"[1, 10, 14, 21, 28, 48]",32,577.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[15, 17, 34, 37, 38, 59]",51,513.0,0
,"[2, 5, 10, 23, 29, 53]",38,42.0,0
,"[14, 27, 29, 31, 32, 38]",52,878.0,0
,"[5, 8, 17, 40, 52, 55]",41,60.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[9, 11, 24, 25, 38, 49]",55,37.0,0
,"[3, 22, 34, 40, 42, 44]",12,325.0,0
,"[2, 28, 29, 34, 47, 52]",50,782.0,0
,"[3, 7, 10, 36, 39, 43]",17,793.0,0
,"[11, 18, 21, 32, 45, 47]",38,421.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 26, 44, 47, 55, 56]",19,89.0,1
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[1, 3, 9, 27, 33, 38]",4,150.0,1
,"[3, 7, 13, 20, 30, 45]",37,297.0,0
,"[6, 10, 11, 12, 43, 56]",53,408.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,1
,"[11, 17, 30, 32, 42, 45]",19,335.0,1
,"[8, 11, 25, 36, 47, 48]",1,782.0,0
,"[4, 7, 16, 20, 33, 41]",24,480.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[9, 15, 30, 31, 41, 47]",24,92.0,1
,"[12, 13, 18, 19, 41, 55]",5,907.0,0
,"[9, 12, 13, 21, 33, 42]",36,668.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[8, 9, 21, 39, 42, 57]",44,949.0,1
,"[12, 23, 24, 36, 47, 58]",46,555.0,0
,"[3, 8, 15, 26, 51, 54]",30,487.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[2, 7, 12, 26, 31, 39]",32,727.0,1
,"[7, 9, 16, 30, 45, 47]",28,737.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[1, 2, 13, 31, 40, 53]",8,558.0,0
,"[7, 17, 19, 31, 34, 53]",33,842.0,0
,"[7, 8, 13, 23, 25, 31]",35,306.0,0
,"[12, 15, 16, 35, 53, 59]",29,985.0,0
,"[6, 27, 37, 40, 50, 57]",43,45.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[1, 17, 18, 27, 33, 52]",10,150.0,2
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[6, 29, 30, 37, 48, 56]",23,605.0,0
,"[3, 8, 15, 26, 51, 54]",30,342.0,0
,"[11, 17, 30, 32, 42, 45]",19,468.0,0
,"[1, 3, 6, 7, 58, 59]",4,920.0,0
,"[8, 9, 15, 23, 46, 48]",58,142.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[6, 7, 19, 25, 29, 35]",24,859.0,0
,"[1, 6, 10, 14, 28, 40]",34,892.0,0
,"[2, 5, 10, 23, 29, 53]",38,322.0,0
,"[15, 33, 36, 37, 43, 54]",31,68.0,0
,"[37, 38, 39, 40, 49, 57]",30,582.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[8, 13, 26, 38, 48, 55]",15,921.0,0
,"[21, 34, 35, 45, 50, 55]",18,761.0,0
,"[5, 33, 34, 42, 49, 52]",41,811.0,0
,"[2, 14, 27, 44, 56, 59]",41,411.0,0
,"[8, 18, 20, 29, 46, 58]",54,355.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,1
,"[8, 15, 27, 38, 49, 58]",3,101.0,1
,"[20, 32, 46, 49, 54, 57]",14,323.0,0
,"[5, 10, 24, 33, 43, 44]",25,810.0,0
,"[3, 8, 19, 21, 41, 50]",16,56.0,0
,"[4, 18, 31, 32, 38, 54]",25,371.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[1, 4, 9, 14, 34, 55]",31,272.0,0
,"[5, 17, 18, 22, 35, 56]",43,389.0,0
,"[11, 38, 41, 44, 53, 57]",39,673.0,0
,"[4, 24, 32, 39, 48, 54]",41,445.0,0
,"[6, 10, 11, 12, 43, 56]",53,741.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[3, 17, 34, 38, 42, 53]",22,232.0,0
,"[34, 37, 38, 55, 56, 58]",7,968.0,0
,"[11, 19, 37, 46, 56, 57]",59,269.0,0
,"[1, 17, 18, 27, 33, 52]",10,41.0,0
,"[7, 13, 31, 38, 50, 57]",4,531.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[4, 10, 13, 20, 37, 43]",51,329.0,1
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,1
,"[14, 16, 29, 32, 40, 46]",10,28.0,1
,"[3, 35, 36, 40, 48, 50]",59,306.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[2, 28, 29, 34, 47, 52]",50,399.0,1
,"[4, 15, 28, 36, 40, 48]",50,228.0,0
,"[15, 17, 21, 23, 25, 42]",47,491.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[2, 9, 10, 15, 25, 53]",54,828.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[5, 13, 30, 42, 55, 58]",20,856.0,1
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[5, 18, 25, 31, 33, 58]",28,266.0,0
,"[1, 8, 19, 32, 40, 50]",6,739.0,0
,"[3, 4, 15, 25, 57, 59]",54,455.0,0
,"[2, 24, 36, 37, 38, 50]",19,374.0,0
,"[5, 10, 12, 14, 43, 56]",17,923.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[1, 2, 6, 12, 15, 59]",32,861.0,1
,"[20, 32, 35, 43, 52, 56]",4,764.0,0
,"[2, 10, 24, 29, 44, 53]",35,789.0,0
,"[19, 23, 24, 25, 42, 54]",44,637.0,0
,"[8, 9, 15, 23, 46, 48]",58,735.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[14, 18, 21, 30, 34, 35]",45,417.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[27, 29, 38, 43, 44, 53]",40,658.0,2
,"[8, 14, 19, 22, 39, 48]",13,174.0,0
,"[22, 35, 39, 49, 53, 57]",20,343.0,0
,"[10, 15, 31, 43, 46, 52]",33,851.0,0
,"[9, 26, 33, 38, 50, 58]",30,455.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[10, 25, 48, 50, 51, 58]",11,717.0,1
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[5, 13, 21, 25, 29, 57]",51,434.0,2
,"[5, 13, 23, 31, 37, 46]",14,42.0,0
,"[4, 7, 23, 41, 42, 55]",35,510.0,0
,"[8, 14, 28, 30, 56, 58]",17,899.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[1, 9, 17, 18, 46, 48]",54,941.0,0
,"[3, 14, 25, 34, 41, 46]",31,240.0,0
,"[5, 9, 29, 46, 48, 51]",33,121.0,0
,"[11, 13, 37, 38, 49, 58]",16,322.0,0
,"[8, 15, 27, 38, 49, 58]",3,997.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[15, 39, 42, 54, 56, 58]",19,577.0,0
,"[22, 26, 29, 39, 45, 52]",56,571.0,0
,"[4, 17, 18, 49, 51, 54]",56,683.0,0
,"[5, 21, 30, 34, 41, 59]",8,564.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[13, 22, 31, 34, 40, 52]",8,31.0,0
,"[14, 18, 21, 30, 34, 35]",45,449.0,0
,"[22, 23, 27, 41, 48, 56]",28,452.0,0
,"[19, 38, 41, 51, 54, 58]",24,138.0,0
,"[7, 9, 16, 30, 45, 47]",28,45.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,1
,"[13, 19, 24, 33, 49, 50]",29,349.0,1
,"[2, 4, 29, 32, 47, 49]",22,109.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[12, 17, 38, 44, 56, 58]",50,134.0,1
,"[2, 3, 6, 22, 28, 30]",36,896.0,0
,"[12, 20, 23, 33, 35, 57]",29,733.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[14, 15, 26, 27, 39, 52]",28,398.0,2
,"[5, 7, 9, 16, 24, 45]",17,779.0,0
,"[18, 25, 38, 42, 47, 50]",40,105.0,0
,"[11, 15, 18, 27, 32, 58]",24,437.0,0
,"[5, 7, 25, 26, 29, 58]",52,418.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[21, 25, 28, 34, 52, 59]",24,682.0,1
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[8, 12, 13, 29, 55, 59]",42,142.0,0
,"[7, 9, 10, 14, 25, 59]",24,353.0,0
,"[4, 5, 19, 33, 45, 48]",55,775.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[6, 16, 20, 28, 34, 40]",52,95.0,1
,"[16, 39, 42, 46, 53, 54]",2,513.0,0
,"[11, 15, 28, 34, 39, 58]",14,882.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[2, 3, 23, 27, 47, 58]",24,62.0,1
,"[3, 17, 19, 44, 52, 59]",29,691.0,0
,"[6, 10, 11, 12, 43, 56]",53,427.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[18, 29, 37, 38, 51, 58]",59,282.0,2
,"[4, 5, 17, 25, 52, 53]",42,658.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[5, 7, 9, 28, 49, 51]",54,568.0,1
,"[9, 32, 33, 34, 35, 50]",6,988.0,0
,"[15, 20, 22, 32, 45, 51]",52,249.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[22, 31, 34, 45, 54, 59]",57,407.0,1
,"[4, 7, 23, 41, 42, 55]",35,124.0,0
,"[3, 8, 15, 26, 51, 54]",30,501.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[10, 29, 31, 40, 41, 48]",20,63.0,0
,"[7, 9, 10, 12, 14, 17]",41,211.0,0
,"[5, 13, 14, 17, 20, 54]",22,317.0,0
,"[2, 17, 21, 41, 51, 52]",42,313.0,0
,"[1, 4, 5, 8, 11, 27]",35,111.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[11, 30, 31, 34, 35, 36]",37,193.0,1
,"[2, 5, 14, 39, 45, 51]",3,591.0,0
,"[7, 26, 27, 31, 44, 53]",51,930.0,0
,"[9, 16, 18, 32, 45, 48]",56,514.0,0
,"[1, 13, 16, 32, 41, 53]",47,614.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[4, 12, 15, 38, 43, 50]",11,943.0,1
,"[24, 30, 36, 47, 49, 57]",28,90.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[19, 24, 29, 30, 33, 49]",57,769.0,0
,"[11, 18, 21, 32, 45, 47]",38,501.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[11, 29, 30, 45, 49, 56]",50,404.0,1
,"[4, 15, 28, 36, 40, 48]",50,627.0,0
,"[6, 10, 11, 12, 43, 56]",53,647.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[4, 40, 41, 44, 47, 49]",27,912.0,0
,"[6, 21, 24, 37, 43, 55]",27,560.0,0
,"[16, 23, 28, 31, 45, 46]",32,116.0,0
,"[26, 28, 38, 44, 46, 49]",4,136.0,0
,"[1, 6, 16, 17, 23, 48]",42,857.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[9, 25, 29, 55, 57, 59]",42,68.0,1
,"[4, 12, 36, 44, 51, 54]",49,924.0,0
,"[22, 25, 40, 43, 45, 46]",12,52.0,0
,"[21, 25, 28, 38, 39, 55]",7,712.0,0
,"[18, 26, 30, 36, 43, 53]",23,17.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[11, 21, 30, 35, 40, 44]",29,428.0,1
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[20, 26, 28, 29, 37, 46]",24,545.0,0
,"[13, 20, 24, 30, 45, 53]",22,270.0,0
,"[5, 9, 29, 46, 48, 51]",33,659.0,0
,"[10, 15, 31, 43, 46, 52]",33,148.0,0
,"[15, 23, 43, 44, 53, 54]",58,64.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,0
,"[1, 19, 26, 33, 39, 44]",4,290.0,1
,"[1, 25, 31, 33, 39, 40]",48,444.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[13, 16, 23, 31, 53, 55]",9,298.0,1
,"[16, 23, 24, 42, 49, 57]",25,739.0,0
,"[6, 14, 20, 21, 34, 41]",29,976.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[8, 10, 25, 41, 46, 48]",39,564.0,0
,"[14, 19, 29, 39, 48, 59]",56,344.0,0
,"[11, 38, 41, 44, 53, 57]",39,659.0,0
,"[7, 18, 20, 32, 52, 56]",15,171.0,0
,"[2, 8, 11, 15, 42, 44]",52,324.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,1
,"[24, 27, 30, 32, 36, 38]",3,362.0,0
,"[11, 30, 31, 34, 35, 36]",37,305.0,0
,"[7, 16, 19, 21, 28, 37]",13,354.0,0
,"[1, 6, 10, 14, 28, 40]",34,406.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[6, 8, 16, 21, 28, 45]",51,763.0,0
,"[9, 16, 18, 32, 45, 48]",56,555.0,0
,"[3, 9, 14, 21, 43, 54]",58,439.0,0
,"[19, 23, 24, 25, 42, 54]",44,667.0,0
,"[21, 25, 34, 52, 55, 58]",20,454.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[6, 10, 26, 42, 52, 56]",41,432.0,0
,"[5, 10, 22, 27, 32, 51]",34,637.0,0
,"[11, 28, 37, 44, 49, 58]",35,259.0,0
,"[9, 12, 32, 37, 38, 58]",54,949.0,0
,"[3, 4, 35, 51, 52, 56]",33,62.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[12, 15, 16, 35, 53, 59]",29,269.0,1
,"[3, 17, 19, 44, 52, 59]",29,193.0,0
,"[8, 9, 27, 46, 55, 58]",47,978.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[1, 9, 11, 14, 16, 31]",39,176.0,1
,"[11, 16, 21, 29, 45, 48]",50,271.0,0
,"[2, 28, 29, 34, 47, 52]",50,273.0,0
,"[1, 21, 22, 33, 54, 55]",40,422.0,0
,"[3, 7, 32, 48, 52, 53]",17,596.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[8, 24, 25, 31, 38, 51]",21,0.0,2
,"[21, 24, 26, 38, 53, 58]",4,5.0,3
,"[4, 14, 24, 38, 47, 53]",40,470.0,0
,"[3, 12, 27, 29, 36, 44]",42,0.0,0
,"[2, 6, 13, 17, 20, 51]",8,933.0,1
