draw_number,draw_date,round,tier,category,winners,prize_per_winner
2066,2015-10-10,1,1,Match 6,0,5279697.0
2066,2015-10-10,1,2,Match 5 plus Bonus,1,120570.0
2066,2015-10-10,1,3,Match 5,61,2080.0
2066,2015-10-10,1,4,Match 4,5059,161.0
2066,2015-10-10,1,5,Match 3,136931,25.0
2066,2015-10-10,1,6,Match 2,1519930,0.0
2067,2015-10-14,1,1,Match 6,0,7875986.0
2067,2015-10-14,1,2,Match 5 plus Bonus,2,29645.0
2067,2015-10-14,1,3,Match 5,67,931.0
2067,2015-10-14,1,4,Match 4,4422,91.0
2067,2015-10-14,1,5,Match 3,102008,25.0
2067,2015-10-14,1,6,Match 2,918807,0.0
2068,2015-10-17,1,1,Match 6,0,12110605.0
2068,2015-10-17,1,2,Match 5 plus Bonus,2,54061.0
2068,2015-10-17,1,3,Match 5,56,2032.0
2068,2015-10-17,1,4,Match 4,4482,163.0
2068,2015-10-17,1,5,Match 3,123221,25.0
2068,2015-10-17,1,6,Match 2,1329225,0.0
2069,2015-10-21,1,1,Match 6,1,14612465.0
2069,2015-10-21,1,2,Match 5 plus Bonus,0,0.0
2069,2015-10-21,1,3,Match 5,43,1640.0
2069,2015-10-21,1,4,Match 4,2912,156.0
2069,2015-10-21,1,5,Match 3,80068,25.0
2069,2015-10-21,1,6,Match 2,882110,0.0
2070,2015-10-24,1,1,Match 6,1,4307602.0
2070,2015-10-24,1,2,Match 5 plus Bonus,1,98370.0
2070,2015-10-24,1,3,Match 5,46,2251.0
2070,2015-10-24,1,4,Match 4,3438,194.0
2070,2015-10-24,1,5,Match 3,84257,25.0
2070,2015-10-24,1,6,Match 2,929235,0.0
2071,2015-10-28,1,1,Match 6,0,2319221.0
2071,2015-10-28,1,2,Match 5 plus Bonus,0,0.0
2071,2015-10-28,1,3,Match 5,19,2868.0
2071,2015-10-28,1,4,Match 4,2136,164.0
2071,2015-10-28,1,5,Match 3,52804,25.0
2071,2015-10-28,1,6,Match 2,555688,0.0
2072,2015-10-31,1,1,Match 6,0,6677278.0
2072,2015-10-31,1,2,Match 5 plus Bonus,1,99522.0
2072,2015-10-31,1,3,Match 5,47,2228.0
2072,2015-10-31,1,4,Match 4,3582,188.0
2072,2015-10-31,1,5,Match 3,93588,25.0
2072,2015-10-31,1,6,Match 2,1019127,0.0
2073,2015-11-04,1,1,Match 6,0,8842605.0
2073,2015-11-04,1,2,Match 5 plus Bonus,0,0.0
2073,2015-11-04,1,3,Match 5,113,554.0
2073,2015-11-04,1,4,Match 4,6799,59.0
2073,2015-11-04,1,5,Match 3,135673,25.0
2073,2015-11-04,1,6,Match 2,1069928,0.0
2074,2015-11-07,1,1,Match 6,0,13156375.0
2074,2015-11-07,1,2,Match 5 plus Bonus,0,0.0
2074,2015-11-07,1,3,Match 5,70,1616.0
2074,2015-11-07,1,4,Match 4,4841,150.0
2074,2015-11-07,1,5,Match 3,133054,25.0
2074,2015-11-07,1,6,Match 2,1420142,0.0
2075,2015-11-11,1,1,Match 6,1,15791929.0
2075,2015-11-11,1,2,Match 5 plus Bonus,0,0.0
2075,2015-11-11,1,3,Match 5,49,1503.0
2075,2015-11-11,1,4,Match 4,3449,137.0
2075,2015-11-11,1,5,Match 3,92752,25.0
2075,2015-11-11,1,6,Match 2,971087,0.0
2076,2015-11-14,1,1,Match 6,1,4337627.0
2076,2015-11-14,1,2,Match 5 plus Bonus,0,0.0
2076,2015-11-14,1,3,Match 5,50,2038.0
2076,2015-11-14,1,4,Match 4,3554,185.0
2076,2015-11-14,1,5,Match 3,87803,25.0
2076,2015-11-14,1,6,Match 2,993670,0.0
2077,2015-11-18,1,1,Match 6,0,2291890.0
2077,2015-11-18,1,2,Match 5 plus Bonus,0,0.0
2077,2015-11-18,1,3,Match 5,36,1496.0
2077,2015-11-18,1,4,Match 4,2699,128.0
2077,2015-11-18,1,5,Match 3,71087,25.0
2077,2015-11-18,1,6,Match 2,724986,0.0
2078,2015-11-21,1,1,Match 6,0,6915695.0
2078,2015-11-21,1,2,Match 5 plus Bonus,7,15084.0
2078,2015-11-21,1,3,Match 5,202,550.0
2078,2015-11-21,1,4,Match 4,12314,58.0
2078,2015-11-21,1,5,Match 3,242564,25.0
2078,2015-11-21,1,6,Match 2,1895286,0.0
2079,2015-11-25,1,1,Match 6,0,9125517.0
2079,2015-11-25,1,2,Match 5 plus Bonus,0,0.0
2079,2015-11-25,1,3,Match 5,47,1355.0
2079,2015-11-25,1,4,Match 4,2905,141.0
2079,2015-11-25,1,5,Match 3,72784,25.0
2079,2015-11-25,1,6,Match 2,750153,0.0
2080,2015-11-28,1,1,Match 6,0,13323440.0
2080,2015-11-28,1,2,Match 5 plus Bonus,0,0.0
2080,2015-11-28,1,3,Match 5,101,1093.0
2080,2015-11-28,1,4,Match 4,7030,101.0
2080,2015-11-28,1,5,Match 3,174327,25.0
2080,2015-11-28,1,6,Match 2,1622017,0.0
2081,2015-12-02,1,1,Match 6,0,15798380.0
2081,2015-12-02,1,2,Match 5 plus Bonus,4,16984.0
2081,2015-12-02,1,3,Match 5,168,425.0
2081,2015-12-02,1,4,Match 4,7885,58.0
2081,2015-12-02,1,5,Match 3,151853,25.0
2081,2015-12-02,1,6,Match 2,1180819,0.0
2082,2015-12-05,1,1,Match 6,0,20192107.0
2082,2015-12-05,1,2,Match 5 plus Bonus,1,111755.0
2082,2015-12-05,1,3,Match 5,69,1704.0
2082,2015-12-05,1,4,Match 4,4493,168.0
2082,2015-12-05,1,5,Match 3,113400,25.0
2082,2015-12-05,1,6,Match 2,1299331,0.0
2083,2015-12-09,1,1,Match 6,0,22284273.0
2083,2015-12-09,1,2,Match 5 plus Bonus,1,70614.0
2083,2015-12-09,1,3,Match 5,59,1259.0
2083,2015-12-09,1,4,Match 4,5118,93.0
2083,2015-12-09,1,5,Match 3,120008,25.0
2083,2015-12-09,1,6,Match 2,1102167,0.0
2084,2015-12-12,1,1,Match 6,0,26267667.0
2084,2015-12-12,1,2,Match 5 plus Bonus,1,113803.0
2084,2015-12-12,1,3,Match 5,67,1787.0
2084,2015-12-12,1,4,Match 4,5067,152.0
2084,2015-12-12,1,5,Match 3,129664,25.0
2084,2015-12-12,1,6,Match 2,1397644,0.0
2085,2015-12-16,1,1,Match 6,0,28573124.0
2085,2015-12-16,1,2,Match 5 plus Bonus,0,0.0
2085,2015-12-16,1,3,Match 5,41,1894.0
2085,2015-12-16,1,4,Match 4,3964,126.0
2085,2015-12-16,1,5,Match 3,95643,25.0
2085,2015-12-16,1,6,Match 2,984041,0.0
2086,2015-12-19,1,1,Match 6,0,32690115.0
2086,2015-12-19,1,2,Match 5 plus Bonus,1,116854.0
2086,2015-12-19,1,3,Match 5,97,1268.0
2086,2015-12-19,1,4,Match 4,6054,131.0
2086,2015-12-19,1,5,Match 3,154082,25.0
2086,2015-12-19,1,6,Match 2,1584225,0.0
2087,2015-12-23,1,1,Match 6,0,35410343.0
2087,2015-12-23,1,2,Match 5 plus Bonus,1,84957.0
2087,2015-12-23,1,3,Match 5,131,682.0
2087,2015-12-23,1,4,Match 4,8784,65.0
2087,2015-12-23,1,5,Match 3,182131,25.0
2087,2015-12-23,1,6,Match 2,1452789,0.0
2088,2015-12-26,1,1,Match 6,0,39529852.0
2088,2015-12-26,1,2,Match 5 plus Bonus,0,0.0
2088,2015-12-26,1,3,Match 5,89,1351.0
2088,2015-12-26,1,4,Match 4,7124,108.0
2088,2015-12-26,1,5,Match 3,168384,25.0
2088,2015-12-26,1,6,Match 2,1613948,0.0
2089,2015-12-30,1,1,Match 6,0,42659372.0
2089,2015-12-30,1,2,Match 5 plus Bonus,0,0.0
2089,2015-12-30,1,3,Match 5,63,1540.0
2089,2015-12-30,1,4,Match 4,4354,143.0
2089,2015-12-30,1,5,Match 3,101062,25.0
2089,2015-12-30,1,6,Match 2,1035963,0.0
2090,2016-01-02,1,1,Match 6,0,47405023.0
2090,2016-01-02,1,2,Match 5 plus Bonus,4,32802.0
2090,2016-01-02,1,3,Match 5,94,1469.0
2090,2016-01-02,1,4,Match 4,6958,128.0
2090,2016-01-02,1,5,Match 3,178050,25.0
2090,2016-01-02,1,6,Match 2,1810415,0.0
2091,2016-01-06,1,1,Match 6,0,52964701.0
2091,2016-01-06,1,2,Match 5 plus Bonus,2,74900.0
2091,2016-01-06,1,3,Match 5,128,1231.0
2091,2016-01-06,1,4,Match 4,7583,134.0
2091,2016-01-06,1,5,Match 3,179547,25.0
2091,2016-01-06,1,6,Match 2,1822860,0.0
2092,2016-01-09,1,1,Match 6,2,33035323.0
2092,2016-01-09,1,2,Match 5 plus Bonus,5,64426.0
2092,2016-01-09,1,3,Match 5,259,1309.0
2092,2016-01-09,1,4,Match 4,17695,123.0
2092,2016-01-09,1,5,Match 3,418225,25.0
2092,2016-01-09,1,6,Match 2,4195770,0.0
2093,2016-01-13,1,1,Match 6,0,2773612.0
2093,2016-01-13,1,2,Match 5 plus Bonus,1,63339.0
2093,2016-01-13,1,3,Match 5,44,1515.0
2093,2016-01-13,1,4,Match 4,2892,148.0
2093,2016-01-13,1,5,Match 3,72242,25.0
2093,2016-01-13,1,6,Match 2,780604,0.0
2094,2016-01-16,1,1,Match 6,0,7820460.0
2094,2016-01-16,1,2,Match 5 plus Bonus,0,0.0
2094,2016-01-16,1,3,Match 5,84,1412.0
2094,2016-01-16,1,4,Match 4,8532,89.0
2094,2016-01-16,1,5,Match 3,193215,25.0
2094,2016-01-16,1,6,Match 2,1749028,0.0
2095,2016-01-20,1,1,Match 6,0,10019900.0
2095,2016-01-20,1,2,Match 5 plus Bonus,1,61645.0
2095,2016-01-20,1,3,Match 5,44,1474.0
2095,2016-01-20,1,4,Match 4,2725,153.0
2095,2016-01-20,1,5,Match 3,65206,25.0
2095,2016-01-20,1,6,Match 2,679883,0.0
2096,2016-01-23,1,1,Match 6,0,14230775.0
2096,2016-01-23,1,2,Match 5 plus Bonus,2,53790.0
2096,2016-01-23,1,3,Match 5,89,1272.0
2096,2016-01-23,1,4,Match 4,7058,103.0
2096,2016-01-23,1,5,Match 3,178511,25.0
2096,2016-01-23,1,6,Match 2,1734877,0.0
2097,2016-01-27,1,1,Match 6,0,16556227.0
2097,2016-01-27,1,2,Match 5 plus Bonus,1,64523.0
2097,2016-01-27,1,3,Match 5,40,1697.0
2097,2016-01-27,1,4,Match 4,2685,163.0
2097,2016-01-27,1,5,Match 3,68829,25.0
2097,2016-01-27,1,6,Match 2,730157,0.0
2098,2016-01-30,1,1,Match 6,0,20901550.0
2098,2016-01-30,1,2,Match 5 plus Bonus,3,36883.0
2098,2016-01-30,1,3,Match 5,239,487.0
2098,2016-01-30,1,4,Match 4,11091,67.0
2098,2016-01-30,1,5,Match 3,199925,25.0
2098,2016-01-30,1,6,Match 2,1762854,0.0
2099,2016-02-03,1,1,Match 6,0,22881101.0
2099,2016-02-03,1,2,Match 5 plus Bonus,2,34021.0
2099,2016-02-03,1,3,Match 5,54,1326.0
2099,2016-02-03,1,4,Match 4,3333,138.0
2099,2016-02-03,1,5,Match 3,82815,25.0
2099,2016-02-03,1,6,Match 2,870402,0.0
2100,2016-02-06,1,1,Match 6,0,26744925.0
2100,2016-02-06,1,2,Match 5 plus Bonus,1,111072.0
2100,2016-02-06,1,3,Match 5,85,1375.0
2100,2016-02-06,1,4,Match 4,5425,139.0
2100,2016-02-06,1,5,Match 3,138613,25.0
2100,2016-02-06,1,6,Match 2,1468538,0.0
2101,2016-02-10,1,1,Match 6,0,28677758.0
2101,2016-02-10,1,2,Match 5 plus Bonus,0,0.0
2101,2016-02-10,1,3,Match 5,78,883.0
2101,2016-02-10,1,4,Match 4,4766,93.0
2101,2016-02-10,1,5,Match 3,104777,25.0
2101,2016-02-10,1,6,Match 2,969476,0.0
2102,2016-02-13,1,1,Match 6,1,32534188.0
2102,2016-02-13,1,2,Match 5 plus Bonus,1,110904.0
2102,2016-02-13,1,3,Match 5,65,1796.0
2102,2016-02-13,1,4,Match 4,5808,129.0
2102,2016-02-13,1,5,Match 3,144759,25.0
2102,2016-02-13,1,6,Match 2,1476976,0.0
2103,2016-02-17,1,1,Match 6,0,2388928.0
2103,2016-02-17,1,2,Match 5 plus Bonus,0,0.0
2103,2016-02-17,1,3,Match 5,37,1517.0
2103,2016-02-17,1,4,Match 4,2374,152.0
2103,2016-02-17,1,5,Match 3,60627,25.0
2103,2016-02-17,1,6,Match 2,651651,0.0
2104,2016-02-20,1,1,Match 6,1,6726199.0
2104,2016-02-20,1,2,Match 5 plus Bonus,0,0.0
2104,2016-02-20,1,3,Match 5,60,1698.0
2104,2016-02-20,1,4,Match 4,4149,158.0
2104,2016-02-20,1,5,Match 3,105890,25.0
2104,2016-02-20,1,6,Match 2,1135093,0.0
2105,2016-02-24,1,1,Match 6,0,2275802.0
2105,2016-02-24,1,2,Match 5 plus Bonus,5,10394.0
2105,2016-02-24,1,3,Match 5,196,279.0
2105,2016-02-24,1,4,Match 4,7901,44.0
2105,2016-02-24,1,5,Match 3,136168,25.0
2105,2016-02-24,1,6,Match 2,989006,0.0
2106,2016-02-27,1,1,Match 6,0,6612256.0
2106,2016-02-27,1,2,Match 5 plus Bonus,3,33009.0
2106,2016-02-27,1,3,Match 5,53,1966.0
2106,2016-02-27,1,4,Match 4,4537,148.0
2106,2016-02-27,1,5,Match 3,119853,25.0
2106,2016-02-27,1,6,Match 2,1275006,0.0
2107,2016-03-02,1,1,Match 6,0,8534850.0
2107,2016-03-02,1,2,Match 5 plus Bonus,1,55323.0
2107,2016-03-02,1,3,Match 5,49,1188.0
2107,2016-03-02,1,4,Match 4,3237,116.0
2107,2016-03-02,1,5,Match 3,80607,25.0
2107,2016-03-02,1,6,Match 2,789991,0.0
2108,2016-03-05,1,1,Match 6,0,12335968.0
2108,2016-03-05,1,2,Match 5 plus Bonus,4,24555.0
2108,2016-03-05,1,3,Match 5,116,891.0
2108,2016-03-05,1,4,Match 4,7589,87.0
2108,2016-03-05,1,5,Match 3,163469,25.0
2108,2016-03-05,1,6,Match 2,1484703,0.0
2109,2016-03-09,1,1,Match 6,0,14440873.0
2109,2016-03-09,1,2,Match 5 plus Bonus,2,29743.0
2109,2016-03-09,1,3,Match 5,38,1647.0
2109,2016-03-09,1,4,Match 4,3174,127.0
2109,2016-03-09,1,5,Match 3,76095,25.0
2109,2016-03-09,1,6,Match 2,769048,0.0
2110,2016-03-12,1,1,Match 6,0,18326514.0
2110,2016-03-12,1,2,Match 5 plus Bonus,1,100152.0
2110,2016-03-12,1,3,Match 5,61,1728.0
2110,2016-03-12,1,4,Match 4,4240,160.0
2110,2016-03-12,1,5,Match 3,111868,25.0
2110,2016-03-12,1,6,Match 2,1206699,0.0
2111,2016-03-16,1,1,Match 6,0,19917119.0
2111,2016-03-16,1,2,Match 5 plus Bonus,1,59160.0
2111,2016-03-16,1,3,Match 5,36,1729.0
2111,2016-03-16,1,4,Match 4,3090,129.0
2111,2016-03-16,1,5,Match 3,81630,25.0
2111,2016-03-16,1,6,Match 2,830433,0.0
2112,2016-03-19,1,1,Match 6,0,23255533.0
2112,2016-03-19,1,2,Match 5 plus Bonus,1,99074.0
2112,2016-03-19,1,3,Match 5,55,1896.0
2112,2016-03-19,1,4,Match 4,4604,146.0
2112,2016-03-19,1,5,Match 3,119593,25.0
2112,2016-03-19,1,6,Match 2,1280939,0.0
2113,2016-03-23,1,1,Match 6,0,24887143.0
2113,2016-03-23,1,2,Match 5 plus Bonus,6,10016.0
2113,2016-03-23,1,3,Match 5,4082,15.0
2113,2016-03-23,1,4,Match 4,7879,51.0
2113,2016-03-23,1,5,Match 3,114232,25.0
2113,2016-03-23,1,6,Match 2,938938,0.0
2114,2016-03-26,1,1,Match 6,0,28269422.0
2114,2016-03-26,1,2,Match 5 plus Bonus,2,50038.0
2114,2016-03-26,1,3,Match 5,65,1620.0
2114,2016-03-26,1,4,Match 4,4208,161.0
2114,2016-03-26,1,5,Match 3,105647,25.0
2114,2016-03-26,1,6,Match 2,1158508,0.0
2115,2016-03-30,1,1,Match 6,0,29875556.0
2115,2016-03-30,1,2,Match 5 plus Bonus,2,29757.0
2115,2016-03-30,1,3,Match 5,92,680.0
2115,2016-03-30,1,4,Match 4,4980,81.0
2115,2016-03-30,1,5,Match 3,105294,25.0
2115,2016-03-30,1,6,Match 2,928497,0.0
2116,2016-04-02,1,1,Match 6,0,33282708.0
2116,2016-04-02,1,2,Match 5 plus Bonus,2,50322.0
2116,2016-04-02,1,3,Match 5,92,1151.0
2116,2016-04-02,1,4,Match 4,6933,98.0
2116,2016-04-02,1,5,Match 3,155539,25.0
2116,2016-04-02,1,6,Match 2,1476840,0.0
2117,2016-04-06,1,1,Match 6,1,35133888.0
2117,2016-04-06,1,2,Match 5 plus Bonus,0,0.0
2117,2016-04-06,1,3,Match 5,35,1914.0
2117,2016-04-06,1,4,Match 4,2769,156.0
2117,2016-04-06,1,5,Match 3,70801,25.0
2117,2016-04-06,1,6,Match 2,768770,0.0
2118,2016-04-09,1,1,Match 6,0,4426238.0
2118,2016-04-09,1,2,Match 5 plus Bonus,0,0.0
2118,2016-04-09,1,3,Match 5,61,1705.0
2118,2016-04-09,1,4,Match 4,4725,142.0
2118,2016-04-09,1,5,Match 3,120020,25.0
2118,2016-04-09,1,6,Match 2,1271334,0.0
2119,2016-04-13,1,1,Match 6,0,6737023.0
2119,2016-04-13,1,2,Match 5 plus Bonus,1,52770.0
2119,2016-04-13,1,3,Match 5,44,1262.0
2119,2016-04-13,1,4,Match 4,3127,114.0
2119,2016-04-13,1,5,Match 3,77193,25.0
2119,2016-04-13,1,6,Match 2,775515,0.0
2120,2016-04-16,1,1,Match 6,1,10317199.0
2120,2016-04-16,1,2,Match 5 plus Bonus,2,46588.0
2120,2016-04-16,1,3,Match 5,68,1442.0
2120,2016-04-16,1,4,Match 4,4339,145.0
2120,2016-04-16,1,5,Match 3,117561,25.0
2120,2016-04-16,1,6,Match 2,1267108,0.0
2121,2016-04-20,1,1,Match 6,3,729026.0
2121,2016-04-20,1,2,Match 5 plus Bonus,7,7135.0
2121,2016-04-20,1,3,Match 5,336,156.0
2121,2016-04-20,1,4,Match 4,12460,27.0
2121,2016-04-20,1,5,Match 3,167741,25.0
2121,2016-04-20,1,6,Match 2,1050554,0.0
2122,2016-04-23,1,1,Match 6,0,3969040.0
2122,2016-04-23,1,2,Match 5 plus Bonus,2,45319.0
2122,2016-04-23,1,3,Match 5,86,1109.0
2122,2016-04-23,1,4,Match 4,5864,104.0
2122,2016-04-23,1,5,Match 3,134549,25.0
2122,2016-04-23,1,6,Match 2,1285996,0.0
2123,2016-04-27,1,1,Match 6,0,6320566.0
2123,2016-04-27,1,2,Match 5 plus Bonus,0,0.0
2123,2016-04-27,1,3,Match 5,42,1315.0
2123,2016-04-27,1,4,Match 4,2590,137.0
2123,2016-04-27,1,5,Match 3,68182,25.0
2123,2016-04-27,1,6,Match 2,711545,0.0
2124,2016-04-30,1,1,Match 6,0,9889930.0
2124,2016-04-30,1,2,Match 5 plus Bonus,1,92930.0
2124,2016-04-30,1,3,Match 5,50,1956.0
2124,2016-04-30,1,4,Match 4,3828,164.0
2124,2016-04-30,1,5,Match 3,111233,25.0
2124,2016-04-30,1,6,Match 2,1224929,0.0
2125,2016-05-04,1,1,Match 6,1,11749355.0
2125,2016-05-04,1,2,Match 5 plus Bonus,14,3848.0
2125,2016-05-04,1,3,Match 5,187,303.0
2125,2016-05-04,1,4,Match 4,9657,37.0
2125,2016-05-04,1,5,Match 3,134881,25.0
2125,2016-05-04,1,6,Match 2,1014641,0.0
2126,2016-05-07,1,1,Match 6,0,3930932.0
2126,2016-05-07,1,2,Match 5 plus Bonus,1,89768.0
2126,2016-05-07,1,3,Match 5,162,583.0
2126,2016-05-07,1,4,Match 4,8981,67.0
2126,2016-05-07,1,5,Match 3,183722,25.0
2126,2016-05-07,1,6,Match 2,1494367,0.0
2127,2016-05-11,1,1,Match 6,1,6315123.0
2127,2016-05-11,1,2,Match 5 plus Bonus,0,0.0
2127,2016-05-11,1,3,Match 5,42,1334.0
2127,2016-05-11,1,4,Match 4,3643,99.0
2127,2016-05-11,1,5,Match 3,80589,25.0
2127,2016-05-11,1,6,Match 2,750509,0.0
2128,2016-05-14,1,1,Match 6,0,3873490.0
2128,2016-05-14,1,2,Match 5 plus Bonus,3,29485.0
2128,2016-05-14,1,3,Match 5,75,1241.0
2128,2016-05-14,1,4,Match 4,6426,93.0
2128,2016-05-14,1,5,Match 3,153064,25.0
2128,2016-05-14,1,6,Match 2,1407127,0.0
2129,2016-05-18,1,1,Match 6,1,6162138.0
2129,2016-05-18,1,2,Match 5 plus Bonus,2,26132.0
2129,2016-05-18,1,3,Match 5,52,1057.0
2129,2016-05-18,1,4,Match 4,3833,92.0
2129,2016-05-18,1,5,Match 3,81726,25.0
2129,2016-05-18,1,6,Match 2,787025,0.0
2130,2016-05-21,1,1,Match 6,0,3837901.0
2130,2016-05-21,1,2,Match 5 plus Bonus,1,87644.0
2130,2016-05-21,1,3,Match 5,134,688.0
2130,2016-05-21,1,4,Match 4,8422,70.0
2130,2016-05-21,1,5,Match 3,181024,25.0
2130,2016-05-21,1,6,Match 2,1519519,0.0
2131,2016-05-25,1,1,Match 6,0,6120716.0
2131,2016-05-25,1,2,Match 5 plus Bonus,1,52131.0
2131,2016-05-25,1,3,Match 5,36,1524.0
2131,2016-05-25,1,4,Match 4,2785,127.0
2131,2016-05-25,1,5,Match 3,69079,25.0
2131,2016-05-25,1,6,Match 2,698609,0.0
2132,2016-05-28,1,1,Match 6,0,9592318.0
2132,2016-05-28,1,2,Match 5 plus Bonus,2,45348.0
2132,2016-05-28,1,3,Match 5,56,1704.0
2132,2016-05-28,1,4,Match 4,4079,150.0
2132,2016-05-28,1,5,Match 3,102884,25.0
2132,2016-05-28,1,6,Match 2,1116899,0.0
2133,2016-06-01,1,1,Match 6,0,11376953.0
2133,2016-06-01,1,2,Match 5 plus Bonus,1,52173.0
2133,2016-06-01,1,3,Match 5,39,1408.0
2133,2016-06-01,1,4,Match 4,3274,108.0
2133,2016-06-01,1,5,Match 3,77039,25.0
2133,2016-06-01,1,6,Match 2,731345,0.0
2134,2016-06-04,1,1,Match 6,0,14857812.0
2134,2016-06-04,1,2,Match 5 plus Bonus,2,45454.0
2134,2016-06-04,1,3,Match 5,53,1805.0
2134,2016-06-04,1,4,Match 4,3923,157.0
2134,2016-06-04,1,5,Match 3,99514,25.0
2134,2016-06-04,1,6,Match 2,1065167,0.0
2135,2016-06-08,1,1,Match 6,0,16666695.0
2135,2016-06-08,1,2,Match 5 plus Bonus,1,52726.0
2135,2016-06-08,1,3,Match 5,28,1982.0
2135,2016-06-08,1,4,Match 4,2190,163.0
2135,2016-06-08,1,5,Match 3,54800,25.0
2135,2016-06-08,1,6,Match 2,585577,0.0
2136,2016-06-11,1,1,Match 6,0,19625229.0
2136,2016-06-11,1,2,Match 5 plus Bonus,1,90399.0
2136,2016-06-11,1,3,Match 5,65,1463.0
2136,2016-06-11,1,4,Match 4,5093,120.0
2136,2016-06-11,1,5,Match 3,128422,25.0
2136,2016-06-11,1,6,Match 2,1274912,0.0
2137,2016-06-15,1,1,Match 6,1,21054380.0
2137,2016-06-15,1,2,Match 5 plus Bonus,1,55473.0
2137,2016-06-15,1,3,Match 5,74,789.0
2137,2016-06-15,1,4,Match 4,5749,65.0
2137,2016-06-15,1,5,Match 3,111100,25.0
2137,2016-06-15,1,6,Match 2,920285,0.0
2138,2016-06-18,1,1,Match 6,0,3752365.0
2138,2016-06-18,1,2,Match 5 plus Bonus,1,85691.0
2138,2016-06-18,1,3,Match 5,84,1073.0
2138,2016-06-18,1,4,Match 4,6874,84.0
2138,2016-06-18,1,5,Match 3,154390,25.0
2138,2016-06-18,1,6,Match 2,1348651,0.0
2139,2016-06-22,1,1,Match 6,0,6026100.0
2139,2016-06-22,1,2,Match 5 plus Bonus,0,0.0
2139,2016-06-22,1,3,Match 5,30,1781.0
2139,2016-06-22,1,4,Match 4,2576,133.0
2139,2016-06-22,1,5,Match 3,64053,25.0
2139,2016-06-22,1,6,Match 2,660898,0.0
2140,2016-06-25,1,1,Match 6,0,9331785.0
2140,2016-06-25,1,2,Match 5 plus Bonus,1,86908.0
2140,2016-06-25,1,3,Match 5,73,1253.0
2140,2016-06-25,1,4,Match 4,5896,100.0
2140,2016-06-25,1,5,Match 3,140647,25.0
2140,2016-06-25,1,6,Match 2,1339808,0.0
2141,2016-06-29,1,1,Match 6,0,11197784.0
2141,2016-06-29,1,2,Match 5 plus Bonus,0,0.0
2141,2016-06-29,1,3,Match 5,38,1463.0
2141,2016-06-29,1,4,Match 4,2818,127.0
2141,2016-06-29,1,5,Match 3,71720,25.0
2141,2016-06-29,1,6,Match 2,729319,0.0
2142,2016-07-02,1,1,Match 6,1,14671343.0
2142,2016-07-02,1,2,Match 5 plus Bonus,7,12963.0
2142,2016-07-02,1,3,Match 5,225,424.0
2142,2016-07-02,1,4,Match 4,12861,47.0
2142,2016-07-02,1,5,Match 3,223601,25.0
2142,2016-07-02,1,6,Match 2,1666826,0.0
2143,2016-07-06,1,1,Match 6,0,2198488.0
2143,2016-07-06,1,2,Match 5 plus Bonus,1,50205.0
2143,2016-07-06,1,3,Match 5,38,1390.0
2143,2016-07-06,1,4,Match 4,3689,92.0
2143,2016-07-06,1,5,Match 3,86012,25.0
2143,2016-07-06,1,6,Match 2,795232,0.0
2144,2016-07-09,1,1,Match 6,0,6015662.0
2144,2016-07-09,1,2,Match 5 plus Bonus,3,29057.0
2144,2016-07-09,1,3,Match 5,126,728.0
2144,2016-07-09,1,4,Match 4,7935,74.0
2144,2016-07-09,1,5,Match 3,168973,25.0
2144,2016-07-09,1,6,Match 2,1454934,0.0
2145,2016-07-13,1,1,Match 6,0,7827959.0
2145,2016-07-13,1,2,Match 5 plus Bonus,0,0.0
2145,2016-07-13,1,3,Match 5,24,2264.0
2145,2016-07-13,1,4,Match 4,1955,179.0
2145,2016-07-13,1,5,Match 3,54418,25.0
2145,2016-07-13,1,6,Match 2,610795,0.0
2146,2016-07-16,1,1,Match 6,1,11216708.0
2146,2016-07-16,1,2,Match 5 plus Bonus,0,0.0
2146,2016-07-16,1,3,Match 5,67,1364.0
2146,2016-07-16,1,4,Match 4,4645,126.0
2146,2016-07-16,1,5,Match 3,120165,25.0
2146,2016-07-16,1,6,Match 2,1216971,0.0
2147,2016-07-20,1,1,Match 6,0,2093346.0
2147,2016-07-20,1,2,Match 5 plus Bonus,0,0.0
2147,2016-07-20,1,3,Match 5,22,2236.0
2147,2016-07-20,1,4,Match 4,1972,160.0
2147,2016-07-20,1,5,Match 3,53467,25.0
2147,2016-07-20,1,6,Match 2,585577,0.0
2148,2016-07-23,1,1,Match 6,1,5750115.0
2148,2016-07-23,1,2,Match 5 plus Bonus,1,83507.0
2148,2016-07-23,1,3,Match 5,45,1953.0
2148,2016-07-23,1,4,Match 4,3206,176.0
2148,2016-07-23,1,5,Match 3,85631,25.0
2148,2016-07-23,1,6,Match 2,969559,0.0
2149,2016-07-27,1,1,Match 6,0,2055847.0
2149,2016-07-27,1,2,Match 5 plus Bonus,0,0.0
2149,2016-07-27,1,3,Match 5,51,947.0
2149,2016-07-27,1,4,Match 4,3085,101.0
2149,2016-07-27,1,5,Match 3,72752,25.0
2149,2016-07-27,1,6,Match 2,682658,0.0
2150,2016-07-30,1,1,Match 6,0,5771863.0
2150,2016-07-30,1,2,Match 5 plus Bonus,1,84860.0
2150,2016-07-30,1,3,Match 5,42,2126.0
2150,2016-07-30,1,4,Match 4,3606,159.0
2150,2016-07-30,1,5,Match 3,93171,25.0
2150,2016-07-30,1,6,Match 2,1020189,0.0
2151,2016-08-03,1,1,Match 6,0,7485160.0
